Konteks,Pertanyaan,Jawaban,Topik
"Candi Borobudur (bahasa Jawa: ꦕꦟ꧀ꦝꦶꦧꦫꦧꦸꦝꦸꦂ,translit. Candhi Båråbudhur) adalah sebuah candi Buddha yang terletak di Borobudur, Magelang, Jawa Tengah, Indonesia. Candi ini terletak kurang lebih 100 km di sebelah barat daya Semarang, 86 km di sebelah barat Surakarta, dan 40 km di sebelah barat laut Yogyakarta. Candi dengan banyak stupa ini didirikan oleh para penganut agama Buddha Mahayana sekitar tahun 800-an Masehi pada masa pemerintahan wangsa Syailendra. Borobudur adalah candi atau kuil Buddha terbesar di dunia sekaligus salah satu monumen Buddha terbesar di dunia.",Di mana letak geografis Candi Borobudur?,"Candi Borobudur terletak di Borobudur, Magelang, Jawa Tengah, Indonesia.",Budaya
"Candi Borobudur (bahasa Jawa: ꦕꦟ꧀ꦝꦶꦧꦫꦧꦸꦝꦸꦂ,translit. Candhi Båråbudhur) adalah sebuah candi Buddha yang terletak di Borobudur, Magelang, Jawa Tengah, Indonesia. Candi ini terletak kurang lebih 100 km di sebelah barat daya Semarang, 86 km di sebelah barat Surakarta, dan 40 km di sebelah barat laut Yogyakarta. Candi dengan banyak stupa ini didirikan oleh para penganut agama Buddha Mahayana sekitar tahun 800-an Masehi pada masa pemerintahan wangsa Syailendra. Borobudur adalah candi atau kuil Buddha terbesar di dunia sekaligus salah satu monumen Buddha terbesar di dunia.",Berapa jarak antara Candi Borobudur dan Semarang?,Candi Borobudur terletak kurang lebih 100 km di sebelah barat daya Semarang.,Budaya
"Candi Borobudur (bahasa Jawa: ꦕꦟ꧀ꦝꦶꦧꦫꦧꦸꦝꦸꦂ,translit. Candhi Båråbudhur) adalah sebuah candi Buddha yang terletak di Borobudur, Magelang, Jawa Tengah, Indonesia. Candi ini terletak kurang lebih 100 km di sebelah barat daya Semarang, 86 km di sebelah barat Surakarta, dan 40 km di sebelah barat laut Yogyakarta. Candi dengan banyak stupa ini didirikan oleh para penganut agama Buddha Mahayana sekitar tahun 800-an Masehi pada masa pemerintahan wangsa Syailendra. Borobudur adalah candi atau kuil Buddha terbesar di dunia sekaligus salah satu monumen Buddha terbesar di dunia.",Siapa yang mendirikan Candi Borobudur?,Candi Borobudur didirikan oleh para penganut agama Buddha Mahayana.,Budaya
"Candi Borobudur (bahasa Jawa: ꦕꦟ꧀ꦝꦶꦧꦫꦧꦸꦝꦸꦂ,translit. Candhi Båråbudhur) adalah sebuah candi Buddha yang terletak di Borobudur, Magelang, Jawa Tengah, Indonesia. Candi ini terletak kurang lebih 100 km di sebelah barat daya Semarang, 86 km di sebelah barat Surakarta, dan 40 km di sebelah barat laut Yogyakarta. Candi dengan banyak stupa ini didirikan oleh para penganut agama Buddha Mahayana sekitar tahun 800-an Masehi pada masa pemerintahan wangsa Syailendra. Borobudur adalah candi atau kuil Buddha terbesar di dunia sekaligus salah satu monumen Buddha terbesar di dunia.",Pada masa pemerintahan mana Candi Borobudur didirikan?,Candi Borobudur didirikan pada masa pemerintahan wangsa Syailendra sekitar tahun 800-an Masehi.,Budaya
"Candi Borobudur (bahasa Jawa: ꦕꦟ꧀ꦝꦶꦧꦫꦧꦸꦝꦸꦂ,translit. Candhi Båråbudhur) adalah sebuah candi Buddha yang terletak di Borobudur, Magelang, Jawa Tengah, Indonesia. Candi ini terletak kurang lebih 100 km di sebelah barat daya Semarang, 86 km di sebelah barat Surakarta, dan 40 km di sebelah barat laut Yogyakarta. Candi dengan banyak stupa ini didirikan oleh para penganut agama Buddha Mahayana sekitar tahun 800-an Masehi pada masa pemerintahan wangsa Syailendra. Borobudur adalah candi atau kuil Buddha terbesar di dunia sekaligus salah satu monumen Buddha terbesar di dunia.",Apa status Candi Borobudur di dunia?,"Borobudur adalah candi atau kuil Buddha terbesar di dunia, sekaligus salah satu monumen Buddha terbesar di dunia.",Budaya
"Candi Borobudur adalah satu-satunya
tempat pemujaan Budha yang terbesar di
dunia, keberadaanya bagaikan suatu
pernyataan dari batu yang serba kompleks
indah dan arsitektur, mengenai banyak hal
yang telah dikenal di Indonesia dan Asia
Tenggara. Piramida bertingkat (step
pyramid) susunan candi seperti limas telah
dipakai sejak prasejarah di Asia dan
Polynesia. Borobudur sebagai suatu
kesaksian yang terus-menerus terhadap dan
sebuah manifestasi besar-besaran tentang
doktrin Budhis dapat dilihat dan di rasakan

melalui sejumlah aneka ragam karya artistik,
ada kurang dari 1.460 relif naratif 1,300
diantaranya terpanjang daai lorong-lorong
dan 160 sisanya terdapat di hidden foot
(dasar/kaki candi yang tertutup tanah).
Keseluruhan reliftersebut mengambil tempat
sepanjang 2.300 meter dan menutup bidang
seluas 1.900 meter persegi, di samping ini
ada pula relief dekoratif, lalu masih ada lagi
324 ratna, 1.740 ornamen segi tiga, 100
gargotles (patung pancuran) dan 32 patung
singa (Joesoef, 2015:48-49).",Apa keunikan Candi Borobudur?,"Candi Borobudur adalah satu-satunya tempat pemujaan Budha yang terbesar di dunia, dengan arsitektur yang kompleks dan indah.",Budaya
"Candi Borobudur adalah satu-satunya
tempat pemujaan Budha yang terbesar di
dunia, keberadaanya bagaikan suatu
pernyataan dari batu yang serba kompleks
indah dan arsitektur, mengenai banyak hal
yang telah dikenal di Indonesia dan Asia
Tenggara. Piramida bertingkat (step
pyramid) susunan candi seperti limas telah
dipakai sejak prasejarah di Asia dan
Polynesia. Borobudur sebagai suatu
kesaksian yang terus-menerus terhadap dan
sebuah manifestasi besar-besaran tentang
doktrin Budhis dapat dilihat dan di rasakan

melalui sejumlah aneka ragam karya artistik,
ada kurang dari 1.460 relif naratif 1,300
diantaranya terpanjang daai lorong-lorong
dan 160 sisanya terdapat di hidden foot
(dasar/kaki candi yang tertutup tanah).
Keseluruhan reliftersebut mengambil tempat
sepanjang 2.300 meter dan menutup bidang
seluas 1.900 meter persegi, di samping ini
ada pula relief dekoratif, lalu masih ada lagi
324 ratna, 1.740 ornamen segi tiga, 100
gargotles (patung pancuran) dan 32 patung
singa (Joesoef, 2015:48-49).", Berapa banyak relief naratif yang terdapat di Candi Borobudur?,"Terdapat kurang dari 1.460 relief naratif di Candi Borobudur, dengan 1.300 di antaranya terletak di lorong-lorong dan 160 sisanya terletak di hidden foot.",Budaya
"Candi Borobudur adalah satu-satunya
tempat pemujaan Budha yang terbesar di
dunia, keberadaanya bagaikan suatu
pernyataan dari batu yang serba kompleks
indah dan arsitektur, mengenai banyak hal
yang telah dikenal di Indonesia dan Asia
Tenggara. Piramida bertingkat (step
pyramid) susunan candi seperti limas telah
dipakai sejak prasejarah di Asia dan
Polynesia. Borobudur sebagai suatu
kesaksian yang terus-menerus terhadap dan
sebuah manifestasi besar-besaran tentang
doktrin Budhis dapat dilihat dan di rasakan

melalui sejumlah aneka ragam karya artistik,
ada kurang dari 1.460 relif naratif 1,300
diantaranya terpanjang daai lorong-lorong
dan 160 sisanya terdapat di hidden foot
(dasar/kaki candi yang tertutup tanah).
Keseluruhan reliftersebut mengambil tempat
sepanjang 2.300 meter dan menutup bidang
seluas 1.900 meter persegi, di samping ini
ada pula relief dekoratif, lalu masih ada lagi
324 ratna, 1.740 ornamen segi tiga, 100
gargotles (patung pancuran) dan 32 patung
singa (Joesoef, 2015:48-49).",Apa saja yang terdapat di Candi Borobudur selain relief naratif?,"Selain relief naratif, Candi Borobudur juga memiliki relief dekoratif, 324 ratna, 1.740 ornamen segi tiga, 100 gargotles (patung pancuran), dan 32 patung singa.",Budaya
"Candi Borobudur adalah satu-satunya
tempat pemujaan Budha yang terbesar di
dunia, keberadaanya bagaikan suatu
pernyataan dari batu yang serba kompleks
indah dan arsitektur, mengenai banyak hal
yang telah dikenal di Indonesia dan Asia
Tenggara. Piramida bertingkat (step
pyramid) susunan candi seperti limas telah
dipakai sejak prasejarah di Asia dan
Polynesia. Borobudur sebagai suatu
kesaksian yang terus-menerus terhadap dan
sebuah manifestasi besar-besaran tentang
doktrin Budhis dapat dilihat dan di rasakan

melalui sejumlah aneka ragam karya artistik,
ada kurang dari 1.460 relif naratif 1,300
diantaranya terpanjang daai lorong-lorong
dan 160 sisanya terdapat di hidden foot
(dasar/kaki candi yang tertutup tanah).
Keseluruhan reliftersebut mengambil tempat
sepanjang 2.300 meter dan menutup bidang
seluas 1.900 meter persegi, di samping ini
ada pula relief dekoratif, lalu masih ada lagi
324 ratna, 1.740 ornamen segi tiga, 100
gargotles (patung pancuran) dan 32 patung
singa (Joesoef, 2015:48-49).",Berapa luas bidang yang ditutupi oleh relief di Candi Borobudur?,Relief-relief di Candi Borobudur menutup bidang seluas 1.900 meter persegi dan mengambil tempat sepanjang 2.300 meter.,Budaya
"Candi Borobudur adalah satu-satunya
tempat pemujaan Budha yang terbesar di
dunia, keberadaanya bagaikan suatu
pernyataan dari batu yang serba kompleks
indah dan arsitektur, mengenai banyak hal
yang telah dikenal di Indonesia dan Asia
Tenggara. Piramida bertingkat (step
pyramid) susunan candi seperti limas telah
dipakai sejak prasejarah di Asia dan
Polynesia. Borobudur sebagai suatu
kesaksian yang terus-menerus terhadap dan
sebuah manifestasi besar-besaran tentang
doktrin Budhis dapat dilihat dan di rasakan

melalui sejumlah aneka ragam karya artistik,
ada kurang dari 1.460 relif naratif 1,300
diantaranya terpanjang daai lorong-lorong
dan 160 sisanya terdapat di hidden foot
(dasar/kaki candi yang tertutup tanah).
Keseluruhan reliftersebut mengambil tempat
sepanjang 2.300 meter dan menutup bidang
seluas 1.900 meter persegi, di samping ini
ada pula relief dekoratif, lalu masih ada lagi
324 ratna, 1.740 ornamen segi tiga, 100
gargotles (patung pancuran) dan 32 patung
singa (Joesoef, 2015:48-49).",Apa yang dapat dilihat dan dirasakan dari Candi Borobudur?,"Dari Candi Borobudur, dapat dilihat dan dirasakan kesaksian dan manifestasi besar-besaran tentang doktrin Budhis melalui sejumlah karya artistik yang ada di sana.",Budaya
"Candi Borobudur (bahasa Jawa: ꦕꦟ꧀ꦝꦶꦧꦫꦧꦸꦝꦸꦂ,translit. Candhi Båråbudhur) adalah sebuah candi Buddha yang terletak di Borobudur, Magelang, Jawa Tengah, Indonesia. Candi ini terletak kurang lebih 100 km di sebelah barat daya Semarang, 86 km di sebelah barat Surakarta, dan 40 km di sebelah barat laut Yogyakarta. Candi dengan banyak stupa ini didirikan oleh para penganut agama Buddha Mahayana sekitar tahun 800-an Masehi pada masa pemerintahan wangsa Syailendra. Borobudur adalah candi atau kuil Buddha terbesar di dunia sekaligus salah satu monumen Buddha terbesar di dunia.",Di mana letak geografis Candi Borobudur?,"Candi Borobudur terletak di Borobudur, Magelang, Jawa Tengah, Indonesia.",Budaya
"Candi Borobudur (bahasa Jawa: ꦕꦟ꧀ꦝꦶꦧꦫꦧꦸꦝꦸꦂ,translit. Candhi Båråbudhur) adalah sebuah candi Buddha yang terletak di Borobudur, Magelang, Jawa Tengah, Indonesia. Candi ini terletak kurang lebih 100 km di sebelah barat daya Semarang, 86 km di sebelah barat Surakarta, dan 40 km di sebelah barat laut Yogyakarta. Candi dengan banyak stupa ini didirikan oleh para penganut agama Buddha Mahayana sekitar tahun 800-an Masehi pada masa pemerintahan wangsa Syailendra. Borobudur adalah candi atau kuil Buddha terbesar di dunia sekaligus salah satu monumen Buddha terbesar di dunia.",Berapa jarak antara Candi Borobudur dan Semarang?,Candi Borobudur terletak kurang lebih 100 km di sebelah barat daya Semarang.,Budaya
"Candi Borobudur (bahasa Jawa: ꦕꦟ꧀ꦝꦶꦧꦫꦧꦸꦝꦸꦂ,translit. Candhi Båråbudhur) adalah sebuah candi Buddha yang terletak di Borobudur, Magelang, Jawa Tengah, Indonesia. Candi ini terletak kurang lebih 100 km di sebelah barat daya Semarang, 86 km di sebelah barat Surakarta, dan 40 km di sebelah barat laut Yogyakarta. Candi dengan banyak stupa ini didirikan oleh para penganut agama Buddha Mahayana sekitar tahun 800-an Masehi pada masa pemerintahan wangsa Syailendra. Borobudur adalah candi atau kuil Buddha terbesar di dunia sekaligus salah satu monumen Buddha terbesar di dunia.",Siapa yang mendirikan Candi Borobudur?,Candi Borobudur didirikan oleh para penganut agama Buddha Mahayana.,Budaya
