,Question,Generated Answer,Standard Answer,Topic,BLEU Score,ROUGE Score,IndoBERT Similarity,Inference Time
0,Di mana letak geografis Candi Borobudur?,"Candi Borobudur terletak di Borobudur, Magelang, Jawa Tengah, Indonesia. Lebih tepatnya, candi ini berada sekitar 100 km di sebelah barat daya Semarang, 86 km di sebelah barat Surakarta, dan 40 km di sebelah barat laut Yogyakarta.","Candi Borobudur terletak di Borobudur, Magelang, Jawa Tengah, Indonesia.",Budaya,"{'bleu': 0.26939575688009704, 'precisions': [0.29545454545454547, 0.27906976744186046, 0.2619047619047619, 0.24390243902439024], 'brevity_penalty': 1.0, 'length_ratio': 3.3846153846153846, 'translation_length': 44, 'reference_length': 13}","{'rouge1': np.float64(0.4), 'rouge2': np.float64(0.3720930232558139), 'rougeL': np.float64(0.4), 'rougeLsum': np.float64(0.4)}",0.8687246441841125,1.3381481170654297
1,Berapa jarak antara Candi Borobudur dan Semarang?,"Menurut teks yang diberikan, jarak antara Candi Borobudur dan Semarang adalah kurang lebih 100 km di sebelah barat daya Semarang.",Candi Borobudur terletak kurang lebih 100 km di sebelah barat daya Semarang.,Budaya,"{'bleu': 0.44231933624679737, 'precisions': [0.5454545454545454, 0.47619047619047616, 0.4, 0.3684210526315789], 'brevity_penalty': 1.0, 'length_ratio': 1.6923076923076923, 'translation_length': 22, 'reference_length': 13}","{'rouge1': np.float64(0.6874999999999999), 'rouge2': np.float64(0.6), 'rougeL': np.float64(0.6874999999999999), 'rougeLsum': np.float64(0.6874999999999999)}",0.8143622279167175,0.9216437339782715
2,Siapa yang mendirikan Candi Borobudur?,"Pertanyaanmu tentang siapa yang mendirikan Candi Borobudur. Menurut teks yang saya baca, Candi Borobudur didirikan oleh para penganut agama Buddha Mahayana sekitar tahun 800-an Masehi pada masa pemerintahan wangsa Syailendra.",Candi Borobudur didirikan oleh para penganut agama Buddha Mahayana.,Budaya,"{'bleu': 0.22739562220830442, 'precisions': [0.2857142857142857, 0.23529411764705882, 0.21212121212121213, 0.1875], 'brevity_penalty': 1.0, 'length_ratio': 3.5, 'translation_length': 35, 'reference_length': 10}","{'rouge1': np.float64(0.45000000000000007), 'rouge2': np.float64(0.4210526315789474), 'rougeL': np.float64(0.45000000000000007), 'rougeLsum': np.float64(0.45000000000000007)}",0.8262186646461487,0.46052098274230957
3,Pada masa pemerintahan mana Candi Borobudur didirikan?,Pada masa pemerintahan wangsa Syailendra sekitar tahun 800-an Masehi.,Candi Borobudur didirikan pada masa pemerintahan wangsa Syailendra sekitar tahun 800-an Masehi.,Budaya,"{'bleu': 0.7037259479962376, 'precisions': [0.9166666666666666, 0.9090909090909091, 0.9, 0.8888888888888888], 'brevity_penalty': 0.7788007830714049, 'length_ratio': 0.8, 'translation_length': 12, 'reference_length': 15}","{'rouge1': np.float64(0.8695652173913044), 'rouge2': np.float64(0.8571428571428571), 'rougeL': np.float64(0.8695652173913044), 'rougeLsum': np.float64(0.8695652173913044)}",0.7579419612884521,0.30503296852111816
4,Apa status Candi Borobudur di dunia?,"Maaf, saya tidak memiliki informasi yang cukup tentang status Candi Borobudur di dunia secara spesifik. Saya hanya tahu bahwa Candi Borobudur adalah candi Buddha terbesar di dunia dan salah satu monumen Buddha terbesar di dunia. Jika Anda memiliki pertanyaan lebih spesifik tentang statusnya, saya akan berusaha menjawabnya dengan informasi yang ada.","Borobudur adalah candi atau kuil Buddha terbesar di dunia, sekaligus salah satu monumen Buddha terbesar di dunia.",Budaya,"{'bleu': 0.18519048140855546, 'precisions': [0.2857142857142857, 0.21818181818181817, 0.16666666666666666, 0.11320754716981132], 'brevity_penalty': 1.0, 'length_ratio': 2.9473684210526314, 'translation_length': 56, 'reference_length': 19}","{'rouge1': np.float64(0.4117647058823529), 'rouge2': np.float64(0.3333333333333333), 'rougeL': np.float64(0.4117647058823529), 'rougeLsum': np.float64(0.4117647058823529)}",0.671028733253479,0.307842493057251
5,Apa keunikan Candi Borobudur?,"Candi Borobudur memiliki beberapa keunikan yang membuatnya menjadi salah satu situs warisan budaya dunia yang paling indah dan kompleks. Berikut beberapa keunikan Candi Borobudur:1. **Piramida Bertingkat Terbesar**: Candi Borobudur adalah piramida bertingkat terbesar di dunia, dengan 2.272 relief dan 504 patung Buddha.2. **Relief Naratif Terpanjang**: Candi Borobudur memiliki relief naratif terpanjang di dunia, dengan panjang total 2.300 meter.3. **Jumlah Patung Buddha**: Candi Borobudur memiliki 504 patung Buddha, termasuk 32 patung singa dan 100 gargotles (patung pancuran).4. **Arsitektur yang Kompleks**: Candi Borobudur memiliki arsitektur yang kompleks dan indah, dengan susunan limas yang unik.5. **Doktrin Budhis**: Candi Borobudur adalah manifestasi besar-besaran tentang doktrin Budhis, yang dapat dilihat dan dirasakan melalui relief naratif dan patung Buddha.","Candi Borobudur adalah satu-satunya tempat pemujaan Budha yang terbesar di dunia, dengan arsitektur yang kompleks dan indah.",Budaya,"{'bleu': 0.050158879152592845, 'precisions': [0.09259259259259259, 0.062111801242236024, 0.04375, 0.025157232704402517], 'brevity_penalty': 1.0, 'length_ratio': 8.526315789473685, 'translation_length': 162, 'reference_length': 19}","{'rouge1': np.float64(0.2014388489208633), 'rouge2': np.float64(0.13138686131386862), 'rougeL': np.float64(0.18705035971223022), 'rougeLsum': np.float64(0.18705035971223022)}",0.8666390180587769,0.5478813648223877
6, Berapa banyak relief naratif yang terdapat di Candi Borobudur?,"Menurut teks yang diberikan, ada kurang dari 1.460 relif naratif yang terdapat di Candi Borobudur.","Terdapat kurang dari 1.460 relief naratif di Candi Borobudur, dengan 1.300 di antaranya terletak di lorong-lorong dan 160 sisanya terletak di hidden foot.",Budaya,"{'bleu': 0.0, 'precisions': [0.5294117647058824, 0.25, 0.13333333333333333, 0.0], 'brevity_penalty': 0.6246347280002745, 'length_ratio': 0.68, 'translation_length': 17, 'reference_length': 25}","{'rouge1': np.float64(0.4285714285714286), 'rouge2': np.float64(0.25), 'rougeL': np.float64(0.380952380952381), 'rougeLsum': np.float64(0.380952380952381)}",0.7372308969497681,0.24456286430358887
7,Apa saja yang terdapat di Candi Borobudur selain relief naratif?,"Selain relief naratif, di Candi Borobudur terdapat beberapa hal lainnya, seperti:1. Relief dekoratif: Relief dekoratif yang menambah keindahan dan keunikan candi.2. 324 ratna: Ratna atau patung-patung kecil yang terdapat di sekitar candi.3. 1.740 ornamen segi tiga: Ornamen segi tiga yang menambah keindahan dan keunikan candi.4. 100 gargotles (patung pancuran): Patung pancuran yang terdapat di sekitar candi.5. 32 patung singa: Patung singa yang terdapat di sekitar candi.Semua ini menunjukkan bahwa Candi Borobudur bukan hanya sebagai tempat pemujaan Budha, tetapi juga sebagai karya seni yang sangat indah dan kompleks.","Selain relief naratif, Candi Borobudur juga memiliki relief dekoratif, 324 ratna, 1.740 ornamen segi tiga, 100 gargotles (patung pancuran), dan 32 patung singa.",Budaya,"{'bleu': 0.10237457098175619, 'precisions': [0.23478260869565218, 0.13157894736842105, 0.07964601769911504, 0.044642857142857144], 'brevity_penalty': 1.0, 'length_ratio': 3.7096774193548385, 'translation_length': 115, 'reference_length': 31}","{'rouge1': np.float64(0.3865546218487395), 'rouge2': np.float64(0.2393162393162393), 'rougeL': np.float64(0.3529411764705882), 'rougeLsum': np.float64(0.3529411764705882)}",0.950289249420166,0.46018218994140625
8,Berapa luas bidang yang ditutupi oleh relief di Candi Borobudur?,"Menurut teks yang diberikan, luas bidang yang ditutupi oleh relief di Candi Borobudur adalah sekitar 1.900 meter persegi.",Relief-relief di Candi Borobudur menutup bidang seluas 1.900 meter persegi dan mengambil tempat sepanjang 2.300 meter.,Budaya,"{'bleu': 0.0, 'precisions': [0.4, 0.21052631578947367, 0.1111111111111111, 0.0], 'brevity_penalty': 1.0, 'length_ratio': 1.1764705882352942, 'translation_length': 20, 'reference_length': 17}","{'rouge1': np.float64(0.47368421052631576), 'rouge2': np.float64(0.3333333333333333), 'rougeL': np.float64(0.42105263157894735), 'rougeLsum': np.float64(0.42105263157894735)}",0.9165588617324829,0.24434113502502441
9,Apa yang dapat dilihat dan dirasakan dari Candi Borobudur?,"Dapat dilihat dan dirasakan melalui sejumlah aneka ragam karya artistik, seperti:- Kurang dari 1.460 relif naratif- 1.300 di antaranya terpanjang di lorong-lorong- 160 sisanya terdapat di hidden foot (dasar/kaki candi yang tertutup tanah)- Keseluruhan reliftersebut mengambil tempat sepanjang 2.300 meter dan menutup bidang seluas 1.900 meter persegi- Relief dekoratif- 324 ratna- 1.740 ornamen segi tiga- 100 gargotles (patung pancuran)- 32 patung singa","Dari Candi Borobudur, dapat dilihat dan dirasakan kesaksian dan manifestasi besar-besaran tentang doktrin Budhis melalui sejumlah karya artistik yang ada di sana.",Budaya,"{'bleu': 0.0, 'precisions': [0.1506849315068493, 0.05555555555555555, 0.014084507042253521, 0.0], 'brevity_penalty': 1.0, 'length_ratio': 3.0416666666666665, 'translation_length': 73, 'reference_length': 24}","{'rouge1': np.float64(0.2826086956521739), 'rouge2': np.float64(0.11111111111111112), 'rougeL': np.float64(0.1956521739130435), 'rougeLsum': np.float64(0.1956521739130435)}",0.5385738611221313,0.41672611236572266
10,Di mana letak geografis Candi Borobudur?,"Candi Borobudur terletak di Borobudur, Magelang, Jawa Tengah, Indonesia. Lebih spesifiknya, candi ini terletak kurang lebih 100 km di sebelah barat daya Semarang, 86 km di sebelah barat Surakarta, dan 40 km di sebelah barat laut Yogyakarta.","Candi Borobudur terletak di Borobudur, Magelang, Jawa Tengah, Indonesia.",Budaya,"{'bleu': 0.26319860724800737, 'precisions': [0.28888888888888886, 0.2727272727272727, 0.2558139534883721, 0.23809523809523808], 'brevity_penalty': 1.0, 'length_ratio': 3.4615384615384617, 'translation_length': 45, 'reference_length': 13}","{'rouge1': np.float64(0.391304347826087), 'rouge2': np.float64(0.3636363636363636), 'rougeL': np.float64(0.391304347826087), 'rougeLsum': np.float64(0.391304347826087)}",0.8770707845687866,0.3282458782196045
11,Berapa jarak antara Candi Borobudur dan Semarang?,Jarak antara Candi Borobudur dan Semarang adalah kurang lebih 100 km di sebelah barat daya Semarang.,Candi Borobudur terletak kurang lebih 100 km di sebelah barat daya Semarang.,Budaya,"{'bleu': 0.5856596027429395, 'precisions': [0.7058823529411765, 0.625, 0.5333333333333333, 0.5], 'brevity_penalty': 1.0, 'length_ratio': 1.3076923076923077, 'translation_length': 17, 'reference_length': 13}","{'rouge1': np.float64(0.7857142857142857), 'rouge2': np.float64(0.6923076923076923), 'rougeL': np.float64(0.7857142857142857), 'rougeLsum': np.float64(0.7857142857142857)}",0.9141830205917358,0.22261905670166016
12,Siapa yang mendirikan Candi Borobudur?,Candi Borobudur didirikan oleh para penganut agama Buddha Mahayana sekitar tahun 800-an Masehi pada masa pemerintahan wangsa Syailendra.,Candi Borobudur didirikan oleh para penganut agama Buddha Mahayana.,Budaya,"{'bleu': 0.391080327529236, 'precisions': [0.47619047619047616, 0.4, 0.3684210526315789, 0.3333333333333333], 'brevity_penalty': 1.0, 'length_ratio': 2.1, 'translation_length': 21, 'reference_length': 10}","{'rouge1': np.float64(0.6428571428571429), 'rouge2': np.float64(0.6153846153846153), 'rougeL': np.float64(0.6428571428571429), 'rougeLsum': np.float64(0.6428571428571429)}",0.89894700050354,0.2350616455078125
13,Pada masa pemerintahan mana Candi Borobudur didirikan?,"Pada masa pemerintahan wangsa Syailendra, sekitar tahun 800-an Masehi.",Candi Borobudur didirikan pada masa pemerintahan wangsa Syailendra sekitar tahun 800-an Masehi.,Budaya,"{'bleu': 0.5747539348314025, 'precisions': [0.8461538461538461, 0.75, 0.6363636363636364, 0.5], 'brevity_penalty': 0.8574039191604413, 'length_ratio': 0.8666666666666667, 'translation_length': 13, 'reference_length': 15}","{'rouge1': np.float64(0.8695652173913044), 'rouge2': np.float64(0.8571428571428571), 'rougeL': np.float64(0.8695652173913044), 'rougeLsum': np.float64(0.8695652173913044)}",0.758820116519928,0.2142021656036377
14,Apa status Candi Borobudur di dunia?,"Maaf, saya tidak memiliki informasi yang spesifik tentang status Candi Borobudur di dunia. Saya tidak tahu apakah Candi Borobudur merupakan situs warisan dunia UNESCO, monumen Buddha terbesar di dunia, atau status lainnya.","Borobudur adalah candi atau kuil Buddha terbesar di dunia, sekaligus salah satu monumen Buddha terbesar di dunia.",Budaya,"{'bleu': 0.16429815991214844, 'precisions': [0.2972972972972973, 0.19444444444444445, 0.14285714285714285, 0.08823529411764706], 'brevity_penalty': 1.0, 'length_ratio': 1.9473684210526316, 'translation_length': 37, 'reference_length': 19}","{'rouge1': np.float64(0.40816326530612246), 'rouge2': np.float64(0.2127659574468085), 'rougeL': np.float64(0.32653061224489793), 'rougeLsum': np.float64(0.32653061224489793)}",0.6792400479316711,0.2661468982696533
15,Apa fungsi utama Monumen Borobudur?,Fungsi utama Monumen Borobudur adalah sebagai tempat suci untuk memuliakan Buddha dan berfungsi sebagai tempat ziarah untuk menuntun umat manusia beralih dari alam nafsu duniawi menuju pencerahan dan kebijaksanaan sesuai ajaran Buddha.,Monumen Borobudur dibangun sebagai tempat suci untuk memuliakan Buddha dan sebagai tempat ziarah untuk menuntun umat manusia beralih dari alam nafsu duniawi menuju pencerahan dan kebijaksanaan.,Budaya,"{'bleu': 0.6585866470777355, 'precisions': [0.7878787878787878, 0.6875, 0.6129032258064516, 0.5666666666666667], 'brevity_penalty': 1.0, 'length_ratio': 1.2222222222222223, 'translation_length': 33, 'reference_length': 27}","{'rouge1': np.float64(0.8620689655172413), 'rouge2': np.float64(0.7857142857142856), 'rougeL': np.float64(0.8620689655172413), 'rougeLsum': np.float64(0.8620689655172413)}",0.9625617265701294,0.30141782760620117
16,Bagaimana para peziarah memulai ritual di Borobudur?,"Para peziarah memulai ritual di Borobudur dengan cara berjalan melingkari bangunan suci ini searah jarum jam, sambil terus naik ke undakan berikutnya melalui tiga tingkatan ranah dalam kosmologi Buddha, yaitu Kāmadhātu (ranah hawa nafsu), Rupadhatu (ranah berwujud), dan Arupadhatu (ranah tak berwujud).",Para peziarah masuk melalui sisi timur dan memulai ritual di dasar candi dengan berjalan melingkari bangunan suci ini searah jarum jam.,Budaya,"{'bleu': 0.1705785400383973, 'precisions': [0.32075471698113206, 0.19230769230769232, 0.13725490196078433, 0.1], 'brevity_penalty': 1.0, 'length_ratio': 2.409090909090909, 'translation_length': 53, 'reference_length': 22}","{'rouge1': np.float64(0.4923076923076923), 'rouge2': np.float64(0.31746031746031744), 'rougeL': np.float64(0.43076923076923074), 'rougeLsum': np.float64(0.43076923076923074)}",0.7519171833992004,0.3315470218658447
17,Apa tiga tingkatan ranah dalam kosmologi Buddha yang dilalui para peziarah di Borobudur?,"Tiga tingkatan ranah dalam kosmologi Buddha yang dilalui para peziarah di Borobudur adalah:1. Kāmadhātu (ranah hawa nafsu)2. Rupadhatu (ranah berwujud)3. Arupadhatu (ranah tak berwujud)Dalam perjalanan mereka, para peziarah berjalan melalui serangkaian lorong dan tangga dengan menyaksikan panel relief indah yang terukir pada dinding dan pagar langkan.","Ketiga tingkatan itu adalah Kāmadhātu (ranah hawa nafsu), Rupadhatu (ranah berwujud), dan Arupadhatu (ranah tak berwujud).",Budaya,"{'bleu': 0.21211781777148855, 'precisions': [0.3548387096774194, 0.22950819672131148, 0.18333333333333332, 0.13559322033898305], 'brevity_penalty': 1.0, 'length_ratio': 2.48, 'translation_length': 62, 'reference_length': 25}","{'rouge1': np.float64(0.4571428571428572), 'rouge2': np.float64(0.29411764705882354), 'rougeL': np.float64(0.42857142857142855), 'rougeLsum': np.float64(0.42857142857142855)}",0.6822962760925293,0.3499763011932373
18,Berapa banyak panel relief yang dapat disaksikan para peziarah di Borobudur?,"Dalam teks yang diberikan, disebutkan bahwa para peziarah dapat menyaksikan tak kurang dari 1.460 panel relief indah yang terukir pada dinding dan pagar langkan. Jadi, jawabannya adalah 1.460 panel relief.",Para peziarah dapat menyaksikan tak kurang dari 1.460 panel relief indah yang terukir pada dinding dan pagar langkan.,Budaya,"{'bleu': 0.5068238396810357, 'precisions': [0.5294117647058824, 0.5151515151515151, 0.5, 0.4838709677419355], 'brevity_penalty': 1.0, 'length_ratio': 1.7894736842105263, 'translation_length': 34, 'reference_length': 19}","{'rouge1': np.float64(0.7450980392156863), 'rouge2': np.float64(0.7346938775510204), 'rougeL': np.float64(0.7450980392156863), 'rougeLsum': np.float64(0.7450980392156863)}",0.8985708355903625,0.2615692615509033
19,Apa yang dilalui para peziarah dalam perjalanan mereka di Borobudur?,"Dalam perjalanan mereka di Borobudur, para peziarah melalui tiga tingkatan ranah dalam kosmologi Buddha, yaitu:1. Kāmadhātu (ranah hawa nafsu)2. Rupadhatu (ranah berwujud)3. Arupadhatu (ranah tak berwujud)Mereka juga melalui serangkaian lorong dan tangga dengan menyaksikan lebih dari 1.460 panel relief indah yang terukir pada dinding dan pagar langkan.","Dalam perjalanannya, para peziarah berjalan melalui serangkaian lorong dan tangga.",Budaya,"{'bleu': 0.07490310090112194, 'precisions': [0.15625, 0.09523809523809523, 0.06451612903225806, 0.03278688524590164], 'brevity_penalty': 1.0, 'length_ratio': 5.333333333333333, 'translation_length': 64, 'reference_length': 12}","{'rouge1': np.float64(0.25), 'rouge2': np.float64(0.16129032258064518), 'rougeL': np.float64(0.25), 'rougeLsum': np.float64(0.25)}",0.45402905344963074,0.3804435729980469
