Question,Generated Answer,Topic,BLEU Score,ROUGE Score,IndoBERT Similarity,Inference Time
Kapan Borobudur mulai dikenal dalam dunia ilmu pengetahuan modern?,"Menurut potongan konteks yang diberikan, Borobudur mulai dikenal dalam dunia ilmu pengetahuan modern menjelang tahun 1814.",Sejarah,"{'bleu': 0.6341922683775969, 'precisions': [0.6666666666666666, 0.6470588235294118, 0.625, 0.6], 'brevity_penalty': 1.0, 'length_ratio': 1.5, 'translation_length': 18, 'reference_length': 12}","{'rouge1': np.float64(0.8148148148148148), 'rouge2': np.float64(0.8), 'rougeL': np.float64(0.8148148148148148), 'rougeLsum': np.float64(0.8148148148148148)}",0.883692741394043,0.23695898056030273
Siapa yang memerintahkan penyelidikan di Borobudur pada masa pemerintahan Inggris?,"Menurut informasi yang ada, Letnan Gubernur Jenderal Inggris pada masa pemerintahan Inggris yang singkat (1811-1816) adalah Sir Thomas Stamford Raffles. Ia yang menugasi seorang insinyur untuk melakukan penyelidikan di Borobudur.",Sejarah,"{'bleu': 0.4667662002926809, 'precisions': [0.6486486486486487, 0.5277777777777778, 0.42857142857142855, 0.3235294117647059], 'brevity_penalty': 1.0, 'length_ratio': 1.4230769230769231, 'translation_length': 37, 'reference_length': 26}","{'rouge1': np.float64(0.7450980392156863), 'rouge2': np.float64(0.6122448979591837), 'rougeL': np.float64(0.47058823529411764), 'rougeLsum': np.float64(0.47058823529411764)}",0.9154906272888184,0.2788705825805664
Berapa banyak orang yang terlibat dalam proses pembersihan dan penggalian Borobudur?,"Menurut teks yang Anda berikan, ada 200 orang yang terlibat dalam proses pembersihan dan penggalian Borobudur.",Sejarah,"{'bleu': 0.23588314657186568, 'precisions': [0.6666666666666666, 0.4117647058823529, 0.3125, 0.26666666666666666], 'brevity_penalty': 0.6065306597126334, 'length_ratio': 0.6666666666666666, 'translation_length': 18, 'reference_length': 27}","{'rouge1': np.float64(0.5), 'rouge2': np.float64(0.3684210526315789), 'rougeL': np.float64(0.45), 'rougeLsum': np.float64(0.45)}",0.7401320934295654,0.23532748222351074
Kapan Borobudur akhirnya dapat dilihat dalam keadaan yang lebih jelas?,"Pertanyaanmu sangat menarik! Menurut konteks yang diberikan, Borobudur akhirnya dapat dilihat dalam keadaan yang lebih jelas pada tahun 1891, setelah proses penggalian dan pengubahan yang dilakukan pada tahun 1890-1891. Pada tahun itu, panel-panel relief yang terpendam selama berabad-abad akhirnya dapat dilihat dengan jelas, setelah kaki candi yang terselubung dibuka.",Sejarah,"{'bleu': 0.18888081975879, 'precisions': [0.3103448275862069, 0.17543859649122806, 0.16071428571428573, 0.14545454545454545], 'brevity_penalty': 1.0, 'length_ratio': 2.1481481481481484, 'translation_length': 58, 'reference_length': 27}","{'rouge1': np.float64(0.4155844155844156), 'rouge2': np.float64(0.26666666666666666), 'rougeL': np.float64(0.3896103896103896), 'rougeLsum': np.float64(0.3896103896103896)}",0.6413529515266418,0.3751518726348877
Apa yang dilakukan dengan panel-panel relief yang terpendam di Borobudur setelah bagian kaki candi dibuka?,"Setelah bagian kaki candi Borobudur dibuka, panel-panel relief yang terpendam dipotret sebelum 12.000 meter kubik batu tersebut ditata kembali.",Sejarah,"{'bleu': 0.6812974673978668, 'precisions': [0.9523809523809523, 0.85, 0.7894736842105263, 0.7222222222222222], 'brevity_penalty': 0.8265654376242381, 'length_ratio': 0.84, 'translation_length': 21, 'reference_length': 25}","{'rouge1': np.float64(0.888888888888889), 'rouge2': np.float64(0.7906976744186046), 'rougeL': np.float64(0.888888888888889), 'rougeLsum': np.float64(0.888888888888889)}",0.8573630452156067,0.24195241928100586
Apakah ada bukti tertulis yang menjelaskan siapakah yang membangun Borobudur dan apa kegunaannya?,"Maaf, saya tidak menemukan bukti tertulis yang menjelaskan siapakah yang membangun Borobudur dan apa kegunaannya. Informasi yang tersedia hanya berupa perkiraan berdasarkan perbandingan aksara dan kurun waktu pembangunan.",Sejarah,"{'bleu': 0.3541558057823879, 'precisions': [0.3870967741935484, 0.36666666666666664, 0.3448275862068966, 0.32142857142857145], 'brevity_penalty': 1.0, 'length_ratio': 2.2142857142857144, 'translation_length': 31, 'reference_length': 14}","{'rouge1': np.float64(0.5853658536585366), 'rouge2': np.float64(0.5128205128205128), 'rougeL': np.float64(0.5853658536585366), 'rougeLsum': np.float64(0.5853658536585366)}",0.836794376373291,0.4688279628753662
Bagaimana waktu pembangunannya Borobudur diperkirakan?,Waktu pembangunannya diperkirakan berdasarkan perbandingan antara jenis aksara yang tertulis di kaki tertutup Karmawibhangga dengan jenis aksara yang lazim digunakan pada prasasti kerajaan abad ke-8 dan ke-9.,Sejarah,"{'bleu': 0.9175892332235633, 'precisions': [1.0, 0.9629629629629629, 0.9230769230769231, 0.92], 'brevity_penalty': 0.9649159443723702, 'length_ratio': 0.9655172413793104, 'translation_length': 28, 'reference_length': 29}","{'rouge1': np.float64(0.983050847457627), 'rouge2': np.float64(0.9473684210526316), 'rougeL': np.float64(0.983050847457627), 'rougeLsum': np.float64(0.983050847457627)}",0.8719570636749268,0.2961246967315674
Kapan Borobudur diperkirakan dibangun?,Diperkirakan Borobudur dibangun sekitar tahun 800 masehi.,Sejarah,"{'bleu': 0.05230589112462793, 'precisions': [0.875, 0.5714285714285714, 0.5, 0.4], 'brevity_penalty': 0.09301448921066349, 'length_ratio': 0.2962962962962963, 'translation_length': 8, 'reference_length': 27}","{'rouge1': np.float64(0.45161290322580644), 'rouge2': np.float64(0.27586206896551724), 'rougeL': np.float64(0.3870967741935483), 'rougeLsum': np.float64(0.3870967741935483)}",0.913084864616394,0.2454664707183838
Berapa lama waktu yang dibutuhkan untuk membangun Borobudur?,"Menurut informasi yang tersedia, waktu pembangunan Borobudur diperkirakan menghabiskan waktu 75 - 100 tahun lebih.",Sejarah,"{'bleu': 0.5450176720923848, 'precisions': [0.5882352941176471, 0.5625, 0.5333333333333333, 0.5], 'brevity_penalty': 1.0, 'length_ratio': 1.5454545454545454, 'translation_length': 17, 'reference_length': 11}","{'rouge1': np.float64(0.782608695652174), 'rouge2': np.float64(0.761904761904762), 'rougeL': np.float64(0.782608695652174), 'rougeLsum': np.float64(0.782608695652174)}",0.8909288644790649,0.2747185230255127
Siapakah raja yang memerintah pada saat Borobudur selesai dibangun?,Raja Samaratungga.,Sejarah,"{'bleu': 0.0, 'precisions': [0.6666666666666666, 0.0, 0.0, 0.0], 'brevity_penalty': 0.03567399334725241, 'length_ratio': 0.23076923076923078, 'translation_length': 3, 'reference_length': 13}","{'rouge1': np.float64(0.2666666666666667), 'rouge2': np.float64(0.15384615384615385), 'rougeL': np.float64(0.2666666666666667), 'rougeLsum': np.float64(0.2666666666666667)}",0.47526299953460693,0.22359800338745117
