,question,answer,passage,type,topik
0,"""Apa pendapat para pakar sejarah tentang konteks sosial politik yang memicu pengeboman Candi Borobudur?""","""Mereka menyoroti bahwa pengeboman tersebut merupakan bentuk reaksi terhadap kebijakan Orde Baru yang dianggap meminggirkan Islam, serta munculnya rasa ketidakadilan dalam tragedi Tanjung Priok 1984. Selain itu, pandangan para pakar sejarah juga menekankan bahwa pengeboman Candi Borobudur memiliki kaitan dengan dinamika sosial politik Indonesia pada masa itu, yang membuatnya menjadi topik menarik untuk dikaji dalam konteks sejarah sosial politik.""","""Para pakar sejarah mengidentifikasi faktor-faktor sosial politik yang memicu pengeboman Candi Borobudur, termasuk faktor politik, sosial, emosi keagamaan, dan ideologi. Mereka menyoroti bahwa pengeboman tersebut merupakan bentuk reaksi terhadap kebijakan Orde Baru yang dianggap meminggirkan Islam, serta munculnya rasa ketidakadilan dalam tragedi Tanjung Priok 1984. Selain itu, pandangan para pakar sejarah juga menekankan bahwa pengeboman Candi Borobudur memiliki kaitan dengan dinamika sosial politik Indonesia pada masa itu, yang membuatnya menjadi topik menarik untuk dikaji dalam konteks sejarah sosial politik.""",single,Arsitektur
1,"""Apa itu Candi Borobudur?""","""Candi Borobudur adalah salah satu Candi Budha yang merupakan objek wisata budaya terkenal dan terbesar di Indonesia.""","""Candi Borobudur adalah salah satu Candi Budha yang merupakan objek wisata budaya terkenal dan terbesar di Indonesia. Candi Borobudur disebut sebagai wisata budaya karena menyimpan nilai sejarah yang tinggi. Megahnya arsitektur candi, luas area, dan sejarahnya membuat candi ini masuk sebagai salah satu warisan budaya dunia yang ditetapkan langsung oleh UNESCO pada tahun 1991. Candi Borobudur memiliki sejarah yang kaya dan merupakan salah satu peninggalan bersejarah yang memukau.""",single,Arsitektur
2,"""Bagaimana bentuk Stupa di Candi Borobudur mencerminkan pengaruh seni dan arsitektur pada masanya?""","""Stupa-stupa tersebut melambangkan konsep Parinirvana dan tahap-tahap seorang yogin dalam mencapai Kebuddhaan. Stupa-stupa bercelah yang disebut stupa-stupa berongga melambangkan kegiatan-kegiatan Sang Buddha, sedangkan stupa-stupa lainnya melambangkan sistem perlambangan seorang yogin.""","""Bentuk stupa di Candi Borobudur mencerminkan pengaruh seni dan arsitektur pada masanya melalui berbagai macam bentuk yang digunakan. Stupa-stupa tersebut melambangkan konsep Parinirvana dan tahap-tahap seorang yogin dalam mencapai Kebuddhaan. Stupa-stupa bercelah yang disebut stupa-stupa berongga melambangkan kegiatan-kegiatan Sang Buddha, sedangkan stupa-stupa lainnya melambangkan sistem perlambangan seorang yogin. Stupa-stupa di Candi Borobudur juga memiliki keunikan yang tidak dimiliki oleh candi-candi Buddha lainnya di Jawa, seperti penggunaan berbagai macam bentuk dan tata letak yang berbeda. Dengan demikian, bentuk stupa di Candi Borobudur mencerminkan kekayaan seni dan arsitektur Hindu-Buddha pada masa lampau.""",single,Arsitektur
3,"""Bagaimana penataan relief-relief di Borobudur dapat diinterpretasikan sebagai suatu kalender astronomi?""","""Relief-relief di Borobudur dapat diinterpretasikan sebagai suatu kalender astronomi melalui penempatan dan penggambaran objek-objek astronomis seperti matahari, bulan, dan bintang, serta penggambaran adegan kehidupan masyarakat kuno yang terkait dengan siklus alam dan peristiwa astronomi.""","""Relief-relief di Borobudur dapat diinterpretasikan sebagai suatu kalender astronomi melalui penempatan dan penggambaran objek-objek astronomis seperti matahari, bulan, dan bintang, serta penggambaran adegan kehidupan masyarakat kuno yang terkait dengan siklus alam dan peristiwa astronomi. Penelitian arkeoastronomi menunjukkan bahwa relief-relief tersebut memberikan informasi mengenai perjalanan matahari sepanjang tahun, titik balik matahari, dan fenomena astronomi lainnya yang terkait dengan siklus hidup alam semesta. Dengan demikian, penataan relief-relief di Borobudur dapat diinterpretasikan sebagai suatu kalender astronomi yang mencerminkan pengetahuan dan pemahaman masyarakat kuno tentang peristiwa astronomi dan siklus alam.""",single,Arsitektur
4,"""Bagaimana peran TNI (Tentara Nasional Indonesia) dalam menanggapi pengeboman Candi Borobudur?""","""Mereka ikut memburu pelaku pengeboman dan terlibat dalam penangkapan terhadap beberapa orang yang diduga terlibat dalam perencanaan dan pelaksanaan pengeboman.""","""TNI (Tentara Nasional Indonesia) terlibat dalam menanggapi pengeboman Candi Borobudur dengan melakukan pencidukan terhadap orang-orang yang dianggap punya kaitan dengan berbagai kasus pengeboman. Mereka juga ikut memburu pelaku pengeboman dan terlibat dalam penangkapan terhadap beberapa orang yang diduga terlibat dalam perencanaan dan pelaksanaan pengeboman. Ini menunjukkan peran TNI dalam menanggapi kejadian tersebut dengan melakukan tindakan penegakan hukum dan keamanan.""",single,Arsitektur
5,"""Apa yang terkandung dalam stupa di Candi Borobudur?""","""Setiap stupa di Candi Borobudur berisi patung Buddha.""","""Setiap stupa di Candi Borobudur berisi patung Buddha. Stupa berfungsi sebagai representasi simbolis dari pencerahan Buddha dan dianggap struktur suci. Patung-patung di dalam stupa biasanya terbuat dari batu dan menggambarkan Buddha dalam berbagai pose, seperti pose meditasi atau pose mengajar. Patung-patung tersebut diyakini mewujudkan kehadiran spiritual Buddha dan berfungsi sebagai objek pemujaan bagi praktisi Buddha. Susunan stupa dalam pola melingkar di sekitar stupa pusat menciptakan titik fokus yang mencolok secara visual dan signifikan secara spiritual di dalam kompleks candi. Kehadiran patung-patung Buddha di dalam stupa menambah signifikansi keagamaan dan budaya Candi Borobudur sebagai tempat ibadah dan ziarah.""",single,Arsitektur
6,"""Apa yang dapat dipelajari dari inskripsi-inskripsi yang ditemukan di Candi Borobudur?""","""Dari inskripsi-inskripsi yang ditemukan di Candi Borobudur, dapat mempelajari tentang doktrin Budhis, cerita-cerita yang diukir di dinding candi, serta nilai-nilai budaya dan sejarah yang terkandung di dalamnya.""","""Dari inskripsi-inskripsi yang ditemukan di Candi Borobudur, dapat mempelajari tentang doktrin Budhis, cerita-cerita yang diukir di dinding candi, serta nilai-nilai budaya dan sejarah yang terkandung di dalamnya. Inskripsi-inskripsi tersebut memberikan wawasan tentang kehidupan dan kepercayaan masyarakat pada masa lalu, serta memberikan informasi tentang praktik keagamaan dan kehidupan sosial pada masa itu.""",single,Arsitektur
7,"""Mengapa pola-pola simetris menjadi karakteristik utama di lantai teras Candi Borobudur?""","""Pola-pola simetris menjadi karakteristik utama di lantai teras Candi Borobudur karena mereka mencerminkan konsep keseimbangan, harmoni, dan keselarasan yang penting dalam ajaran Buddha""","""Pola-pola simetris menjadi karakteristik utama di lantai teras Candi Borobudur karena mereka mencerminkan konsep keseimbangan, harmoni, dan keselarasan yang penting dalam ajaran Buddha. Dalam konteks ajaran Buddha, konsep simetri dan keseimbangan memiliki makna simbolis yang mendalam terkait dengan pencarian pencerahan dan kesempurnaan spiritual. Pola-pola simetris yang terdapat di lantai teras Candi Borobudur dapat diartikan sebagai representasi visual dari konsep keseimbangan antara pikiran, perkataan, dan perbuatan yang merupakan bagian penting dari ajaran Buddha. Selain itu, simetri juga mencerminkan keselarasan antara manusia dan alam semesta, serta harmoni dalam pencapaian kesempurnaan spiritual.""",single,Arsitektur
8,"""Apa saja jenis-jenis fauna yang diukir dalam relief Candi Borobudur?""","""Dalam relief Candi Borobudur, terdapat paling sedikit 25 jenis anggota Osteichthyes, Reptilia, Aves, dan Mammalia yang dipahat secara natural, dan terdapat paling sedikit 5 jenis hewan yang dipahat secara setilir.""","""Dalam relief Candi Borobudur, terdapat paling sedikit 25 jenis anggota Osteichthyes, Reptilia, Aves, dan Mammalia yang dipahat secara natural, dan terdapat paling sedikit 5 jenis hewan yang dipahat secara setilir. Jenis-jenis fauna tersebut terdapat di Asia Selatan, dan beberapa di antaranya secara alami tidak pernah hidup di Pulau Jawa, misalnya singa Pantera leo.""",single,Arsitektur
9,"""Bagaimana kondisi batu-batu penyusun Candi Borobudur setelah ribuan tahun berdiri?""","""Pelapukan yang terjadi pada batu Candi Borobudur salah satunya disebabkan oleh tumbuhan tingkat rendah seperti lumut yang tumbuh pada permukaan batu. Selain itu, terdapat kerusakan dan pelapukan yang disebabkan oleh faktor penyebab yang berbeda-beda, seperti kerusakan mekanis dan pelapukan material batuan yang disebabkan oleh kelembaban, angin, air hujan, dan penguapan. Oleh karena itu, kondisi batu-batu penyusun Candi Borobudur menunjukkan tanda-tanda pelapukan dan kerusakan setelah ribuan tahun berdiri.""","""Batu-batu penyusun Candi Borobudur mengalami berbagai kondisi setelah ribuan tahun berdiri. Pelapukan yang terjadi pada batu Candi Borobudur salah satunya disebabkan oleh tumbuhan tingkat rendah seperti lumut yang tumbuh pada permukaan batu. Hasil pengamatan di lapangan menunjukkan bahwa pertumbuhan lumut pada tiap blok batu tidak sama, ada blok batu yang banyak ditumbuhi oleh lumut, di sisi lain ada juga blok batu yang bersih dari pertumbuhan lumut. Selain itu, terdapat kerusakan dan pelapukan yang disebabkan oleh faktor penyebab yang berbeda-beda, seperti kerusakan mekanis dan pelapukan material batuan yang disebabkan oleh kelembaban, angin, air hujan, dan penguapan. Oleh karena itu, kondisi batu-batu penyusun Candi Borobudur menunjukkan tanda-tanda pelapukan dan kerusakan setelah ribuan tahun berdiri.""",single,Arsitektur
