,Question,Generated Answer,Topic,BLEU Score,ROUGE Score,Inference Time
0,"""Bagaimana peristiwa pengeboman Candi Borobudur mempengaruhi persepsi dunia terhadap Indonesia?""",Peristiwa pengeboman Candi Borobudur mempengaruhi persepsi dunia terhadap Indonesia secara negatif karena menimbulkan kekhawatiran terhadap keamanan dan stabilitas di Indonesia. Hal ini juga berdampak negatif terhadap citra Indonesia sebagai tujuan pariwisata yang aman dan menarik.,Arsitektur,"{'bleu': 0.4863769718428192, 'precisions': [0.5945945945945946, 0.5, 0.45714285714285713, 0.4117647058823529], 'brevity_penalty': 1.0, 'length_ratio': 1.2758620689655173, 'translation_length': 37, 'reference_length': 29}","{'rouge1': 0.6666666666666666, 'rouge2': 0.5862068965517241, 'rougeL': 0.6333333333333332, 'rougeLsum': 0.6333333333333332}",0.7829258441925049
1,"""Apakah terdapat simbolisme atau makna khusus dalam tipologi atap Candi Borobudur?""","Tidak ada informasi yang jelas tentang simbolisme atau makna khusus dalam tipologi atap Candi Borobudur. Namun, dapat dilihat bahwa atap-atap tersebut memiliki fungsi yang lebih luas daripada sekadar penutup struktur bangunan, yaitu memengaruhi sirkulasi udara dan cahaya dalam bangunan.",Arsitektur,"{'bleu': 0.0, 'precisions': [0.20930232558139536, 0.047619047619047616, 0.0, 0.0], 'brevity_penalty': 1.0, 'length_ratio': 1.6538461538461537, 'translation_length': 43, 'reference_length': 26}","{'rouge1': 0.2903225806451613, 'rouge2': 0.06666666666666667, 'rougeL': 0.22580645161290322, 'rougeLsum': 0.22580645161290322}",0.7687094211578369
2,"""Apa yang membuat Candi Borobudur unik dibandingkan dengan candi lain di Indonesia?""","Candi Borobudur unik karena memiliki konstruksi dan arsitektur yang sangat tinggi, serta mengandung berbagai konsep logika, konfigurasi ruang, sistematisasi, dan bentuk geometris yang kompleks. Selain itu, Candi Borobudur juga memiliki konsep literasi yang kuat dalam menangkap fenomena alam dan memaknainya sebagai simbol atas pencapaian spiritualitas tertinggi.",Arsitektur,"{'bleu': 0.5336646510802621, 'precisions': [0.5471698113207547, 0.5384615384615384, 0.5294117647058824, 0.52], 'brevity_penalty': 1.0, 'length_ratio': 1.7096774193548387, 'translation_length': 53, 'reference_length': 31}","{'rouge1': 0.6857142857142856, 'rouge2': 0.676470588235294, 'rougeL': 0.6857142857142856, 'rougeLsum': 0.6857142857142856}",0.813878059387207
3,"""Bagaimana relief-relief di Candi Borobudur terkait dengan konsep arkeoastronomi?""","Relief-relief di Candi Borobudur terkait dengan konsep arkeoastronomi melalui penggambaran objek dan peristiwa astronomis dalam cerita yang terdapat pada relief tersebut. Penggambaran ini mencakup bulan, bintang, matahari, dan gugus bintang Pleiades.",Arsitektur,"{'bleu': 0.6165611094708995, 'precisions': [0.9444444444444444, 0.8285714285714286, 0.7058823529411765, 0.6363636363636364], 'brevity_penalty': 0.8007374029168082, 'length_ratio': 0.8181818181818182, 'translation_length': 36, 'reference_length': 44}","{'rouge1': 0.8450704225352113, 'rouge2': 0.6956521739130435, 'rougeL': 0.8169014084507042, 'rougeLsum': 0.8169014084507042}",0.7503912448883057
4,"""Mengapa Candi Borobudur memiliki bentuk stupa di puncaknya, dan bagaimana hal ini mencerminkan simbolisme?""","Candi Borobudur memiliki bentuk stupa di puncaknya karena stupa merupakan simbol penting dalam ajaran Buddhisme yang melambangkan tubuh, pikiran, dan ajaran Buddha. Keberadaan stupa di puncak Candi Borobudur mencerminkan simbolisme yang dalam terkait dengan ajaran dan praktik spiritual dalam Buddhisme.",Arsitektur,"{'bleu': 0.40910194691859286, 'precisions': [0.5909090909090909, 0.4186046511627907, 0.35714285714285715, 0.3170731707317073], 'brevity_penalty': 1.0, 'length_ratio': 1.0, 'translation_length': 44, 'reference_length': 44}","{'rouge1': 0.5641025641025641, 'rouge2': 0.47368421052631576, 'rougeL': 0.5384615384615385, 'rougeLsum': 0.5384615384615385}",0.8158068656921387
5,"""Bagaimana bentuk atap pada relief Candi Borobudur dapat memberikan identitas khusus pada bangunan tersebut?""","Bentuk atap pada relief Candi Borobudur dapat memberikan identitas khusus pada bangunan tersebut karena mencerminkan kekayaan dan keragaman bentuk atap bangunan tradisional. Selain itu, atap-atap tersebut juga memengaruhi sirkulasi udara dan cahaya dalam bangunan, sehingga menunjukkan peran atap yang lebih luas daripada sekedar penutup struktur bangunan.",Arsitektur,"{'bleu': 0.33309244416880135, 'precisions': [0.42, 0.3673469387755102, 0.3125, 0.2553191489361702], 'brevity_penalty': 1.0, 'length_ratio': 2.0833333333333335, 'translation_length': 50, 'reference_length': 24}","{'rouge1': 0.5882352941176471, 'rouge2': 0.5151515151515151, 'rougeL': 0.5882352941176471, 'rougeLsum': 0.5882352941176471}",0.859137773513794
6,"""Apa tujuan awal pembangunan Candi Borobudur?""",Tujuan awal pembangunan Candi Borobudur adalah sebagai bentuk penghormatan yang agung dan sebagai tempat praktis untuk mencapai tujuan spiritual.,Arsitektur,"{'bleu': 0.9048374180359595, 'precisions': [1.0, 1.0, 1.0, 1.0], 'brevity_penalty': 0.9048374180359595, 'length_ratio': 0.9090909090909091, 'translation_length': 20, 'reference_length': 22}","{'rouge1': 1.0, 'rouge2': 1.0, 'rougeL': 1.0, 'rougeLsum': 1.0}",0.576801061630249
7,"""Apakah ada hubungan antara konstruksi piramida dan aspek-aspek arkeoastronomi di Candi Borobudur?""","Tidak ada hubungan langsung antara konstruksi piramida dan aspek-aspek arkeoastronomi di Candi Borobudur. Keduanya memiliki latar belakang dan desain yang berbeda, meskipun keduanya mungkin memiliki kaitan dengan pengetahuan astronomi pada masa lalu.",Arsitektur,"{'bleu': 0.2454495793505461, 'precisions': [0.8, 0.5882352941176471, 0.48484848484848486, 0.4375], 'brevity_penalty': 0.4366726590336307, 'length_ratio': 0.546875, 'translation_length': 35, 'reference_length': 64}","{'rouge1': 0.6, 'rouge2': 0.5, 'rougeL': 0.5333333333333333, 'rougeLsum': 0.5333333333333333}",0.7753660678863525
8,"""Berapa banyak stupa di Candi Borobudur yang memiliki harmika segi delapan?""",Terdapat 16 stupa di Candi Borobudur yang memiliki harmika segi delapan.,Arsitektur,"{'bleu': 0.7648825826302762, 'precisions': [0.9166666666666666, 0.9090909090909091, 0.9, 0.8888888888888888], 'brevity_penalty': 0.846481724890614, 'length_ratio': 0.8571428571428571, 'translation_length': 12, 'reference_length': 14}","{'rouge1': 0.9090909090909091, 'rouge2': 0.9, 'rougeL': 0.9090909090909091, 'rougeLsum': 0.9090909090909091}",0.5340707302093506
9,"""Apakah ada relief yang menggambarkan fauna yang tidak umum ditemui?""","Ya, ada relief yang menggambarkan fauna yang tidak umum ditemui di Pulau Jawa, seperti singa (Pantera leo).",Arsitektur,"{'bleu': 0.0835786433816392, 'precisions': [0.7272727272727273, 0.42857142857142855, 0.3, 0.21052631578947367], 'brevity_penalty': 0.22313016014842982, 'length_ratio': 0.4, 'translation_length': 22, 'reference_length': 55}","{'rouge1': 0.3666666666666667, 'rouge2': 0.13793103448275862, 'rougeL': 0.3333333333333333, 'rougeLsum': 0.3333333333333333}",0.6683149337768555
